Vectorizer,Model,Train_Accuracy,Train_F1,Test_Accuracy,Test_F1,Inference_Time,FLOPs_per_Sample,Training_Time
BOW,Logistic Model,0.92945,0.929327722,0.902236842,0.902074622,0.136526823,10000.0,4.875
BOW,Random Forest Model,0.789375,0.788256188,0.781578947,0.77998023,0.210410357,1000.0,7.53125
BOW,XG Boost Model,0.930625,0.930503511,0.904605263,0.90439248,0.184776068,4000.0,63.421875
BOW,MLP Model,0.949333333,0.949256504,0.913026316,0.912820398,1.236787796,2626560.0,53.453125
BOW,Scratch MLP Model,0.920691667,0.920559578,0.902894737,0.902761138,3.453125,2626560.0,1562.90625
Tf_IDF,Logistic Model,0.919283333,0.919100318,0.905657895,0.905386627,0.302150965,10000.0,10.0625
Tf_IDF,Random Forest Model,0.778833333,0.779300023,0.768684211,0.768672787,0.341379166,1000.0,17.015625
Tf_IDF,XG Boost Model,0.936291667,0.936206408,0.903026316,0.90279,0.376453876,4000.0,2439.328125
Tf_IDF,MLP Model,0.930416667,0.930338424,0.905263158,0.905156466,1.405875206,2626560.0,49.234375
Tf_IDF,Scratch MLP Model,0.896383333,0.896034356,0.888026316,0.887549313,3.3125,2626560.0,1473.25
Matrix Embedding,CNN Model,0.982358333,0.982357621,0.914210526,0.914183587,6.984375,19660800.0,1737.765625
Matrix Embedding,MLP Model,0.982358333,0.982357621,0.903026316,0.902771734,7.78125,13173760.0,1737.765625
Word2Vec,MLP Model,0.964583333,0.964533343,0.893289474,0.892987656,9.4375,13173760.0,665.0
Word2Vec,CNN Model,0.927933333,0.927800378,0.91,0.90985071,6.90625,19660800.0,1066.28125
Word2Vec Scratch,MLP Model,0.944558333,0.944635398,0.897631579,0.89783165,10.6875,13173760.0,529.421875
Word2Vec Scratch,CNN Model,0.919358333,0.919205616,0.907105263,0.907007024,9.484375,19660800.0,1350.359375
