,Word,Count
1314,39,44506
39634,new,21427
50065,said,20267
48666,reuters,19340
4977,ap,16276
25705,gt,13231
34699,lt,13182
64131,year,9772
46408,quot,9596
63636,world,8632
13370,company,7656
37941,monday,7616
40936,oil,7564
62696,wednesday,7531
59427,tuesday,7455
58043,thursday,7346
23433,friday,6870
30286,iraq,6335
64251,york,6268
64186,yesterday,6099
45104,president,5994
37095,microsoft,5936
23923,game,5774
37292,million,5760
62708,week,5654
58163,time,5498
50584,says,5345
14359,corp,5170
60396,united,5129
13160,com,4966
55196,stocks,4952
55989,sunday,4930
45206,prices,4907
25178,government,4862
51274,security,4790
64144,years,4719
25629,group,4714
58354,today,4708
43160,people,4676
51231,second,4545
3482,afp,4529
43190,percent,4514
53634,software,4480
51195,season,4345
57191,team,4305
15866,day,4272
63237,win,4267
29959,internet,4085
50485,saturday,4044
39871,night,4014
46259,quarter,3997
12054,china,3968
27290,high,3962
54860,state,3876
35726,market,3798
15940,deal,3793
50133,sales,3741
41193,open,3734
130,10,3727
37408,minister,3714
39681,news,3706
10208,bush,3683
23624,fullquote,3626
8083,billion,3598
47369,record,3592
10217,business,3562
724,2004,3542
19816,end,3542
4771,announced,3445
29946,international,3425
62456,washington,3389
32165,killed,3353
45447,profit,3256
48224,report,3242
61616,victory,3225
40864,officials,3223
12408,city,3199
14614,court,3198
51621,service,3161
1,000,3142
27657,home,3141
44021,plans,3134
38028,month,3117
51640,set,3087
54871,states,3052
20623,european,3025
12009,chief,2998
4370,american,2985
57259,technology,2957
33393,lead,2933
51173,search,2898
13523,computer,2896
33408,league,2889
56901,talks,2877
15281,cup,2849
31492,just,2838
53962,space,2818
41130,online,2810
14580,country,2776
39162,national,2729
9640,british,2722
20989,expected,2713
33141,largest,2709
48225,reported,2706
51917,shares,2671
29168,india,2670
47429,red,2670
57035,target,2658
6850,bank,2639
30793,japan,2631
63519,won,2627
21771,federal,2624
45234,prime,2612
25075,google,2611
35260,major,2603
39579,network,2599
22160,final,2593
28427,ibm,2577
44354,police,2570
35271,make,2562
30288,iraqi,2545
19389,election,2539
62640,web,2533
27450,hit,2529
48344,research,2523
53906,south,2522
38765,music,2511
2900,according,2489
35275,maker,2479
34463,long,2477
8001,bid,2457
33394,leader,2456
13364,companies,2451
27021,help,2436
8028,big,2429
37745,mobile,2423
23940,games,2406
50260,san,2393
34446,london,2384
51593,series,2377
12835,coach,2368
43997,plan,2352
58070,ticker,2343
50576,say,2342
29272,industry,2342
62565,way,2305
6601,baghdad,2289
62342,war,2271
28060,http,2269
18026,dollar,2264
40989,old,2255
49783,run,2240
24530,giant,2237
7085,based,2215
25656,growth,2199
51628,services,2188
3840,al,2184
63863,www,2184
18937,early,2169
15780,data,2148
40218,north,2145
30166,investor,2130
40426,nuclear,2125
63351,wireless,2124
58775,trade,2120
28029,href,2119
54393,sports,2119
